solar_curr_mA,load_power_mW
0.0,7799.8805365380385
0.0,7799.761071246348
0.0,7799.6416041248485
0.0,7799.522135173453
0.0,7799.402664392076
0.0,7799.283191780637
0.0,7799.163717339049
0.0,7799.044241067229
0.0,7798.9247629650945
0.0,7798.805283032559
0.0,7798.685801269538
0.0,7798.56631767595
0.0,7798.446832251709
0.0,7798.327344996731
0.0,7798.207855910932
0.0,7798.088364994228
0.0,7797.968872246535
0.0,7797.849377667769
0.0,7797.729881257846
0.0,7797.610383016679
0.0,7797.4908829441865
0.0,7797.371381040285
0.0,7797.251877304889
0.0,7797.132371737915
0.0,7797.012864339276
0.0,7796.893355108892
0.0,7796.7738440466765
0.0,7796.654331152545
0.0,7796.534816426413
0.0,7796.415299868198
0.0,7796.295781477816
0.0,7796.176261255179
0.0,7796.056739200208
0.0,7795.937215312813
0.0,7795.817689592914
0.0,7795.698162040425
0.0,7795.578632655262
0.0,7795.459101437341
0.0,7795.339568386578
0.0,7795.220033502887
0.0,7795.100496786185
0.0,7794.980958236388
0.0,7794.861417853411
0.0,7794.74187563717
0.0,7794.62233158758
0.0,7794.502785704558
0.0,7794.383237988018
0.0,7794.263688437877
0.0,7794.144137054051
0.0,7794.024583836453
0.0,7793.9050287850005
0.0,7793.78547189961
0.0,7793.665913180194
0.0,7793.546352626672
0.0,7793.426790238957
0.0,7793.307226016965
0.0,7793.187659960612
0.0,7793.068092069814
0.0,7792.948522344485
0.0,7792.828950784543
0.0,7792.709377389901
0.0,7792.589802160476
0.0,7792.470225096183
0.0,7792.350646196938
0.0,7792.231065462655
0.0,7792.111482893252
0.0,7791.991898488644
0.0,7791.8723122487445
0.0,7791.752724173471
0.0,7791.633134262737
0.0,7791.51354251646
0.0,7791.393948934555
0.0,7791.274353516937
0.0,7791.1547562635205
0.0,7791.035157174222
0.0,7790.915556248958
0.0,7790.795953487642
0.0,7790.676348890192
0.0,7790.5567424565215
0.0,7790.437134186546
0.0,7790.31752408018
0.0,7790.1979121373415
0.0,7790.078298357945
0.0,7789.958682741904
0.0,7789.839065289137
0.0,7789.719445999556
0.0,7789.599824873079
0.0,7789.4802019096205
0.0,7789.360577109095
0.0,7789.240950471419
0.0,7789.1213219965075
0.0,7789.001691684276
0.0,7788.88205953464
0.0,7788.762425547515
0.0,7788.642789722814
0.0,7788.523152060456
0.0,7788.403512560354
0.0,7788.283871222423
0.0,7788.16422804658
0.0,7788.04458303274
0.0,7787.924936180817
0.0,7787.805287490728
0.0,7787.685636962386
0.0,7787.565984595707
0.0,7787.446330390609
0.0,7787.326674347002
0.0,7787.207016464807
0.0,7787.087356743936
0.0,7786.967695184305
0.0,7786.848031785828
0.0,7786.728366548422
0.0,7786.608699472002
0.0,7786.489030556482
0.0,7786.369359801777
0.0,7786.249687207804
0.0,7786.130012774477
0.0,7786.010336501712
0.0,7785.890658389424
0.0,7785.770978437527
0.0,7785.651296645938
